,ArticleID,ArticleName,URL,Abstract,Keywords
0,36528058,The N-terminal domain of human mitochondrial helicase Twinkle has DNA-binding activity crucial for supporting processive DNA synthesis by polymerase γ.,https://pubmed.ncbi.nlm.nih.gov/36528058/,"Twinkle is the ring-shaped replicative helicase within the human mitochondria with high homology to bacteriophage T7 gp4 helicase-primase. Unlike many orthologs of Twinkle, the N-terminal domain (NTD) of human Twinkle has lost its primase activity through evolutionarily acquired mutations. The NTD has no demonstrated activity thus far; its role has remained unclear. Here, we biochemically characterize the isolated NTD and C-terminal domain (CTD) with linker to decipher their contributions to full-length Twinkle activities. This novel CTD construct hydrolyzes ATP, has weak DNA unwinding activity, and assists DNA polymerase γ (Polγ)-catalyzed strand-displacement synthesis on short replication forks. However, CTD fails to promote multikilobase length product formation by Polγ in rolling-circle DNA synthesis. Thus, CTD retains all the motor functions but struggles to implement them for processive translocation. We show that NTD has DNA-binding activity, and its presence stabilizes Twinkle oligomerization. CTD oligomerizes on its own, but the loss of NTD results in heterogeneously sized oligomeric species. The CTD also exhibits weaker and salt-sensitive DNA binding compared with full-length Twinkle. Based on these results, we propose that NTD directly contributes to DNA binding and holds the DNA in place behind the central channel of the CTD like a ""doorstop,"" preventing helicase slippages and sustaining processive unwinding. Consistent with this model, mitochondrial single-stranded DNA-binding protein (mtSSB) compensate for the NTD loss and partially restore kilobase length DNA synthesis by CTD and Polγ. The implications of our studies are foundational for understanding the mechanisms of disease-causing Twinkle mutants that lie in the NTD.","['Twinkle', 'ring-shaped', 'replicative', 'helicase', 'within', 'human', 'mitochondria', 'high', 'homology', 'bacteriophage', 'T7', 'gp4', 'helicase-primase', 'Unlike', 'many', 'orthologs', 'Twinkle', 'N-terminal', 'domain', 'NTD', 'human', 'Twinkle', 'lost', 'primase', 'activity', 'evolutionarily', 'acquired', 'mutations', 'NTD', 'demonstrated', 'activity', 'thus', 'far', ';', 'role', 'remained', 'unclear', 'biochemically', 'characterize', 'isolated', 'NTD', 'C-terminal', 'domain', 'CTD', 'linker', 'decipher', 'contributions', 'full-length', 'Twinkle', 'activities', 'novel', 'CTD', 'construct', 'hydrolyzes', 'ATP', 'weak', 'DNA', 'unwinding', 'activity', 'assists', 'DNA', 'polymerase', 'γ', 'Polγ', '-catalyzed', 'strand-displacement', 'synthesis', 'short', 'replication', 'forks', 'However', 'CTD', 'fails', 'promote', 'multikilobase', 'length', 'product', 'formation', 'Polγ', 'rolling-circle', 'DNA', 'synthesis', 'Thus', 'CTD', 'retains', 'motor', 'functions', 'struggles', 'implement', 'processive', 'translocation', 'show', 'NTD', 'DNA-binding', 'activity', 'presence', 'stabilizes', 'Twinkle', 'oligomerization', 'CTD', 'oligomerizes', 'loss', 'NTD', 'results', 'heterogeneously', 'sized', 'oligomeric', 'species', 'CTD', 'also', 'exhibits', 'weaker', 'salt-sensitive', 'DNA', 'binding', 'compared', 'full-length', 'Twinkle', 'Based', 'results', 'propose', 'NTD', 'directly', 'contributes', 'DNA', 'binding', 'holds', 'DNA', 'place', 'behind', 'central', 'channel', 'CTD', 'like', '``', 'doorstop', ""''"", 'preventing', 'helicase', 'slippages', 'sustaining', 'processive', 'unwinding', 'Consistent', 'model', 'mitochondrial', 'single-stranded', 'DNA-binding', 'protein', 'mtSSB', 'compensate', 'NTD', 'loss', 'partially', 'restore', 'kilobase', 'length', 'DNA', 'synthesis', 'CTD', 'Polγ', 'implications', 'studies', 'foundational', 'understanding', 'mechanisms', 'disease-causing', 'Twinkle', 'mutants', 'lie', 'NTD']"
1,36227977,Real-time dynamic single-molecule protein sequencing on an integrated semiconductor device.,https://pubmed.ncbi.nlm.nih.gov/36227977/,"Studies of the proteome would benefit greatly from methods to directly sequence and digitally quantify proteins and detect posttranslational modifications with single-molecule sensitivity. Here, we demonstrate single-molecule protein sequencing using a dynamic approach in which single peptides are probed in real time by a mixture of dye-labeled N-terminal amino acid recognizers and simultaneously cleaved by aminopeptidases. We annotate amino acids and identify the peptide sequence by measuring fluorescence intensity, lifetime, and binding kinetics on an integrated semiconductor chip. Our results demonstrate the kinetic principles that allow recognizers to identify multiple amino acids in an information-rich manner that enables discrimination of single amino acid substitutions and posttranslational modifications. With further development, we anticipate that this approach will offer a sensitive, scalable, and accessible platform for single-molecule proteomic studies and applications.","['Studies', 'proteome', 'would', 'benefit', 'greatly', 'methods', 'directly', 'sequence', 'digitally', 'quantify', 'proteins', 'detect', 'posttranslational', 'modifications', 'single-molecule', 'sensitivity', 'demonstrate', 'single-molecule', 'protein', 'sequencing', 'using', 'dynamic', 'approach', 'single', 'peptides', 'probed', 'real', 'time', 'mixture', 'dye-labeled', 'N-terminal', 'amino', 'acid', 'recognizers', 'simultaneously', 'cleaved', 'aminopeptidases', 'annotate', 'amino', 'acids', 'identify', 'peptide', 'sequence', 'measuring', 'fluorescence', 'intensity', 'lifetime', 'binding', 'kinetics', 'integrated', 'semiconductor', 'chip', 'results', 'demonstrate', 'kinetic', 'principles', 'allow', 'recognizers', 'identify', 'multiple', 'amino', 'acids', 'information-rich', 'manner', 'enables', 'discrimination', 'single', 'amino', 'acid', 'substitutions', 'posttranslational', 'modifications', 'development', 'anticipate', 'approach', 'offer', 'sensitive', 'scalable', 'accessible', 'platform', 'single-molecule', 'proteomic', 'studies', 'applications']"
2,35934486,"Quantitative methods to study helicase, DNA polymerase, and exonuclease coupling during DNA replication.",https://pubmed.ncbi.nlm.nih.gov/35934486/,"Genome replication is accomplished by highly regulated activities of enzymes in a multi-protein complex called the replisome. Two major enzymes, DNA polymerase and helicase, catalyze continuous DNA synthesis on the leading strand of the parental DNA duplex while the lagging strand is synthesized discontinuously. The helicase and DNA polymerase on their own are catalytically inefficient and weak motors for unwinding/replicating double-stranded DNA. However, when a helicase and DNA polymerase are functionally and physically coupled, they catalyze fast and highly processive leading strand DNA synthesis. DNA polymerase has a 3'-5' exonuclease activity, which removes nucleotides misincorporated in the nascent DNA. DNA synthesis kinetics, processivity, and accuracy are governed by the interplay of the helicase, DNA polymerase, and exonuclease activities within the replisome. This chapter describes quantitative biochemical and biophysical methods to study the coupling of these three critical activities during DNA replication. The methods include real-time quantitation of kinetics of DNA unwinding-synthesis by a coupled helicase-DNA polymerase complex, a 2-aminopurine fluorescence-based assay to map the precise positions of helicase and DNA polymerase with respect to the replication fork junction, and a radiometric assay to study the coupling of DNA polymerase, exonuclease, and helicase activities during processive leading strand DNA synthesis. These methods are presented here with bacteriophage T7 replication proteins as an example but can be applied to other systems with appropriate modifications.","['Genome', 'replication', 'accomplished', 'highly', 'regulated', 'activities', 'enzymes', 'multi-protein', 'complex', 'called', 'replisome', 'Two', 'major', 'enzymes', 'DNA', 'polymerase', 'helicase', 'catalyze', 'continuous', 'DNA', 'synthesis', 'leading', 'strand', 'parental', 'DNA', 'duplex', 'lagging', 'strand', 'synthesized', 'discontinuously', 'helicase', 'DNA', 'polymerase', 'catalytically', 'inefficient', 'weak', 'motors', 'unwinding/replicating', 'double-stranded', 'DNA', 'However', 'helicase', 'DNA', 'polymerase', 'functionally', 'physically', 'coupled', 'catalyze', 'fast', 'highly', 'processive', 'leading', 'strand', 'DNA', 'synthesis', 'DNA', 'polymerase', ""3'-5"", 'exonuclease', 'activity', 'removes', 'nucleotides', 'misincorporated', 'nascent', 'DNA', 'DNA', 'synthesis', 'kinetics', 'processivity', 'accuracy', 'governed', 'interplay', 'helicase', 'DNA', 'polymerase', 'exonuclease', 'activities', 'within', 'replisome', 'chapter', 'describes', 'quantitative', 'biochemical', 'biophysical', 'methods', 'study', 'coupling', 'three', 'critical', 'activities', 'DNA', 'replication', 'methods', 'include', 'real-time', 'quantitation', 'kinetics', 'DNA', 'unwinding-synthesis', 'coupled', 'helicase-DNA', 'polymerase', 'complex', '2-aminopurine', 'fluorescence-based', 'assay', 'map', 'precise', 'positions', 'helicase', 'DNA', 'polymerase', 'respect', 'replication', 'fork', 'junction', 'radiometric', 'assay', 'study', 'coupling', 'DNA', 'polymerase', 'exonuclease', 'helicase', 'activities', 'processive', 'leading', 'strand', 'DNA', 'synthesis', 'methods', 'presented', 'bacteriophage', 'T7', 'replication', 'proteins', 'example', 'applied', 'systems', 'appropriate', 'modifications']"
3,35437807,The intrinsically disordered CARDs-Helicase linker in RIG-I is a molecular gate for RNA proofreading.,https://pubmed.ncbi.nlm.nih.gov/35437807/,"The innate immune receptor RIG-I provides a first line of defense against viral infections. Viral RNAs are recognized by RIG-I's C-terminal domain (CTD), but the RNA must engage the helicase domain to release the signaling CARD (Caspase Activation and Recruitment Domain) domains from their autoinhibitory CARD2:Hel2i interactions. Because the helicase itself lacks RNA specificity, mechanisms to proofread RNAs entering the helicase domain must exist. Although such mechanisms would be crucial in preventing aberrant immune responses by non-specific RNAs, they remain largely uncharacterized to date. This study reveals a previously unknown proofreading mechanism through which RIG-I ensures that the helicase engages RNAs explicitly recognized by the CTD. A crucial part of this mechanism involves the intrinsically disordered CARDs-Helicase Linker (CHL), which connects the CARDs to the helicase subdomain Hel1. CHL uses its negatively charged regions to antagonize incoming RNAs electrostatically. In addition to this RNA gating function, CHL is essential for stabilization of the CARD2:Hel2i interface. Overall, we uncover that the CHL and CARD2:Hel2i interface work together to establish a tunable gating mechanism that allows CTD-chosen RNAs to bind the helicase domain, while at the same time blocking non-specific RNAs. These findings also indicate that CHL could represent a novel target for RIG-I-based therapeutics.","['innate', 'immune', 'receptor', 'RIG-I', 'provides', 'first', 'line', 'defense', 'viral', 'infections', 'Viral', 'RNAs', 'recognized', 'RIG-I', ""'s"", 'C-terminal', 'domain', 'CTD', 'RNA', 'must', 'engage', 'helicase', 'domain', 'release', 'signaling', 'CARD', 'Caspase', 'Activation', 'Recruitment', 'Domain', 'domains', 'autoinhibitory', 'CARD2', ':', 'Hel2i', 'interactions', 'helicase', 'lacks', 'RNA', 'specificity', 'mechanisms', 'proofread', 'RNAs', 'entering', 'helicase', 'domain', 'must', 'exist', 'Although', 'mechanisms', 'would', 'crucial', 'preventing', 'aberrant', 'immune', 'responses', 'non-specific', 'RNAs', 'remain', 'largely', 'uncharacterized', 'date', 'study', 'reveals', 'previously', 'unknown', 'proofreading', 'mechanism', 'RIG-I', 'ensures', 'helicase', 'engages', 'RNAs', 'explicitly', 'recognized', 'CTD', 'crucial', 'part', 'mechanism', 'involves', 'intrinsically', 'disordered', 'CARDs-Helicase', 'Linker', 'CHL', 'connects', 'CARDs', 'helicase', 'subdomain', 'Hel1', 'CHL', 'uses', 'negatively', 'charged', 'regions', 'antagonize', 'incoming', 'RNAs', 'electrostatically', 'addition', 'RNA', 'gating', 'function', 'CHL', 'essential', 'stabilization', 'CARD2', ':', 'Hel2i', 'interface', 'Overall', 'uncover', 'CHL', 'CARD2', ':', 'Hel2i', 'interface', 'work', 'together', 'establish', 'tunable', 'gating', 'mechanism', 'allows', 'CTD-chosen', 'RNAs', 'bind', 'helicase', 'domain', 'time', 'blocking', 'non-specific', 'RNAs', 'findings', 'also', 'indicate', 'CHL', 'could', 'represent', 'novel', 'target', 'RIG-I-based', 'therapeutics']"
4,33870232,Assembly and Cryo-EM structure determination of yeast mitochondrial RNA polymerase initiation complex intermediates.,https://pubmed.ncbi.nlm.nih.gov/33870232/,"In yeast mitochondria, transcription initiation requires assembly of mitochondrial RNA polymerase and transcription initiation factor MTF1 at the DNA promoter initiation site. This protocol describes the purification of the component proteins and assembly of partially melted and fully melted initiation complex states. Both states co-exist in equilibrium in the same sample as seen by cryoelectron microscopy (cryo-EM) and allow elucidation of MTF1's structural roles in controlling the transition into elongation. We further outline how analysis of the complex by light scattering, thermal shift assay, and ultrafiltration assay exhibits reproducible results. For complete details on the use and execution of this protocol, please refer to De Wijngaert et al. (2021).","['yeast', 'mitochondria', 'transcription', 'initiation', 'requires', 'assembly', 'mitochondrial', 'RNA', 'polymerase', 'transcription', 'initiation', 'factor', 'MTF1', 'DNA', 'promoter', 'initiation', 'site', 'protocol', 'describes', 'purification', 'component', 'proteins', 'assembly', 'partially', 'melted', 'fully', 'melted', 'initiation', 'complex', 'states', 'states', 'co-exist', 'equilibrium', 'sample', 'seen', 'cryoelectron', 'microscopy', 'cryo-EM', 'allow', 'elucidation', 'MTF1', ""'s"", 'structural', 'roles', 'controlling', 'transition', 'elongation', 'outline', 'analysis', 'complex', 'light', 'scattering', 'thermal', 'shift', 'assay', 'ultrafiltration', 'assay', 'exhibits', 'reproducible', 'results', 'complete', 'details', 'use', 'execution', 'protocol', 'please', 'refer', 'De', 'Wijngaert', 'et', 'al', '2021']"
5,33278362,Cryo-EM Structures Reveal Transcription Initiation Steps by Yeast Mitochondrial RNA Polymerase.,https://pubmed.ncbi.nlm.nih.gov/33278362/,"Mitochondrial RNA polymerase (mtRNAP) is crucial in cellular energy production, yet understanding of mitochondrial DNA transcription initiation lags that of bacterial and nuclear DNA transcription. We report structures of two transcription initiation intermediate states of yeast mtRNAP that explain promoter melting, template alignment, DNA scrunching, abortive synthesis, and transition into elongation. In the partially melted initiation complex (PmIC), transcription factor MTF1 makes base-specific interactions with flipped non-template (NT) nucleotides ""AAGT"" at -4 to -1 positions of the DNA promoter. In the initiation complex (IC), the template in the expanded 7-mer bubble positions the RNA and NTP analog UTPαS, while NT scrunches into an NT loop. The scrunched NT loop is stabilized by the centrally positioned MTF1 C-tail. The IC and PmIC states coexist in solution, revealing a dynamic equilibrium between two functional states. Frequent scrunching/unscruching transitions and the imminent steric clashes of the inflating NT loop and growing RNA:DNA with the C-tail explain abortive synthesis and transition into elongation.","['Mitochondrial', 'RNA', 'polymerase', 'mtRNAP', 'crucial', 'cellular', 'energy', 'production', 'yet', 'understanding', 'mitochondrial', 'DNA', 'transcription', 'initiation', 'lags', 'bacterial', 'nuclear', 'DNA', 'transcription', 'report', 'structures', 'two', 'transcription', 'initiation', 'intermediate', 'states', 'yeast', 'mtRNAP', 'explain', 'promoter', 'melting', 'template', 'alignment', 'DNA', 'scrunching', 'abortive', 'synthesis', 'transition', 'elongation', 'partially', 'melted', 'initiation', 'complex', 'PmIC', 'transcription', 'factor', 'MTF1', 'makes', 'base-specific', 'interactions', 'flipped', 'non-template', 'NT', 'nucleotides', '``', 'AAGT', ""''"", '-4', '-1', 'positions', 'DNA', 'promoter', 'initiation', 'complex', 'IC', 'template', 'expanded', '7-mer', 'bubble', 'positions', 'RNA', 'NTP', 'analog', 'UTPαS', 'NT', 'scrunches', 'NT', 'loop', 'scrunched', 'NT', 'loop', 'stabilized', 'centrally', 'positioned', 'MTF1', 'C-tail', 'IC', 'PmIC', 'states', 'coexist', 'solution', 'revealing', 'dynamic', 'equilibrium', 'two', 'functional', 'states', 'Frequent', 'scrunching/unscruching', 'transitions', 'imminent', 'steric', 'clashes', 'inflating', 'NT', 'loop', 'growing', 'RNA', ':', 'DNA', 'C-tail', 'explain', 'abortive', 'synthesis', 'transition', 'elongation']"
6,33127643,"Structure, mechanism, and regulation of mitochondrial DNA transcription initiation.",https://pubmed.ncbi.nlm.nih.gov/33127643/,"Mitochondria are specialized compartments that produce requisite ATP to fuel cellular functions and serve as centers of metabolite processing, cellular signaling, and apoptosis. To accomplish these roles, mitochondria rely on the genetic information in their small genome (mitochondrial DNA) and the nucleus. A growing appreciation for mitochondria's role in a myriad of human diseases, including inherited genetic disorders, degenerative diseases, inflammation, and cancer, has fueled the study of biochemical mechanisms that control mitochondrial function. The mitochondrial transcriptional machinery is different from nuclear machinery. The in vitro re-constituted transcriptional complexes of Saccharomyces cerevisiae (yeast) and humans, aided with high-resolution structures and biochemical characterizations, have provided a deeper understanding of the mechanism and regulation of mitochondrial DNA transcription. In this review, we will discuss recent advances in the structure and mechanism of mitochondrial transcription initiation. We will follow up with recent discoveries and formative findings regarding the regulatory events that control mitochondrial DNA transcription, focusing on those involved in cross-talk between the mitochondria and nucleus.","['Mitochondria', 'specialized', 'compartments', 'produce', 'requisite', 'ATP', 'fuel', 'cellular', 'functions', 'serve', 'centers', 'metabolite', 'processing', 'cellular', 'signaling', 'apoptosis', 'accomplish', 'roles', 'mitochondria', 'rely', 'genetic', 'information', 'small', 'genome', 'mitochondrial', 'DNA', 'nucleus', 'growing', 'appreciation', 'mitochondria', ""'s"", 'role', 'myriad', 'human', 'diseases', 'including', 'inherited', 'genetic', 'disorders', 'degenerative', 'diseases', 'inflammation', 'cancer', 'fueled', 'study', 'biochemical', 'mechanisms', 'control', 'mitochondrial', 'function', 'mitochondrial', 'transcriptional', 'machinery', 'different', 'nuclear', 'machinery', 'vitro', 're-constituted', 'transcriptional', 'complexes', 'Saccharomyces', 'cerevisiae', 'yeast', 'humans', 'aided', 'high-resolution', 'structures', 'biochemical', 'characterizations', 'provided', 'deeper', 'understanding', 'mechanism', 'regulation', 'mitochondrial', 'DNA', 'transcription', 'review', 'discuss', 'recent', 'advances', 'structure', 'mechanism', 'mitochondrial', 'transcription', 'initiation', 'follow', 'recent', 'discoveries', 'formative', 'findings', 'regarding', 'regulatory', 'events', 'control', 'mitochondrial', 'DNA', 'transcription', 'focusing', 'involved', 'cross-talk', 'mitochondria', 'nucleus']"
7,32855416,The dynamic landscape of transcription initiation in yeast mitochondria.,https://pubmed.ncbi.nlm.nih.gov/32855416/,"Controlling efficiency and fidelity in the early stage of mitochondrial DNA transcription is crucial for regulating cellular energy metabolism. Conformational transitions of the transcription initiation complex must be central for such control, but how the conformational dynamics progress throughout transcription initiation remains unknown. Here, we use single-molecule fluorescence resonance energy transfer techniques to examine the conformational dynamics of the transcriptional system of yeast mitochondria with single-base resolution. We show that the yeast mitochondrial transcriptional complex dynamically transitions among closed, open, and scrunched states throughout the initiation stage. Then abruptly at position +8, the dynamic states of initiation make a sharp irreversible transition to an unbent conformation with associated promoter release. Remarkably, stalled initiation complexes remain in dynamic scrunching and unscrunching states without dissociating the RNA transcript, implying the existence of backtracking transitions with possible regulatory roles. The dynamic landscape of transcription initiation suggests a kinetically driven regulation of mitochondrial transcription.","['Controlling', 'efficiency', 'fidelity', 'early', 'stage', 'mitochondrial', 'DNA', 'transcription', 'crucial', 'regulating', 'cellular', 'energy', 'metabolism', 'Conformational', 'transitions', 'transcription', 'initiation', 'complex', 'must', 'central', 'control', 'conformational', 'dynamics', 'progress', 'throughout', 'transcription', 'initiation', 'remains', 'unknown', 'use', 'single-molecule', 'fluorescence', 'resonance', 'energy', 'transfer', 'techniques', 'examine', 'conformational', 'dynamics', 'transcriptional', 'system', 'yeast', 'mitochondria', 'single-base', 'resolution', 'show', 'yeast', 'mitochondrial', 'transcriptional', 'complex', 'dynamically', 'transitions', 'among', 'closed', 'open', 'scrunched', 'states', 'throughout', 'initiation', 'stage', 'abruptly', 'position', '+8', 'dynamic', 'states', 'initiation', 'make', 'sharp', 'irreversible', 'transition', 'unbent', 'conformation', 'associated', 'promoter', 'release', 'Remarkably', 'stalled', 'initiation', 'complexes', 'remain', 'dynamic', 'scrunching', 'unscrunching', 'states', 'without', 'dissociating', 'RNA', 'transcript', 'implying', 'existence', 'backtracking', 'transitions', 'possible', 'regulatory', 'roles', 'dynamic', 'landscape', 'transcription', 'initiation', 'suggests', 'kinetically', 'driven', 'regulation', 'mitochondrial', 'transcription']"
8,32505352,Phosphorylation of mitochondrial transcription factor B2 controls mitochondrial DNA binding and transcription.,https://pubmed.ncbi.nlm.nih.gov/32505352/,"Mammalian cells contain genetic information in two compartments, the nucleus and the mitochondria. Mitochondrial gene expression must be coordinated with nuclear gene expression to respond to cellular energetic needs. To gain insight into the coordination between the nucleus and mitochondria, there is a need to understand the regulation of transcription of mitochondrial DNA (mtDNA). Reversible protein post-translational modifications of the mtDNA transcriptional machinery may be one way to control mtDNA transcription. Here we focus on a member of the mtDNA transcription initiation complex, mitochondrial transcription factor B2 (TFB2M). TFB2M melts mtDNA at the promoter to allow the RNA polymerase (POLRMT) to access the DNA template and initiate transcription. Three phosphorylation sites have been previously identified on TFB2M by mass spectrometry: threonine 184, serine 197, and threonine 313. Phosphomimetics were established at these positions. Proteins were purified and analyzed for their ability to bind mtDNA and initiate transcription in vitro. Our results indicate phosphorylation at threonine 184 and threonine 313 impairs promoter binding and prevents transcription. These findings provide a potential regulatory mechanism of mtDNA transcription and help clarify the importance of protein post-translational modifications in mitochondrial function.","['Mammalian', 'cells', 'contain', 'genetic', 'information', 'two', 'compartments', 'nucleus', 'mitochondria', 'Mitochondrial', 'gene', 'expression', 'must', 'coordinated', 'nuclear', 'gene', 'expression', 'respond', 'cellular', 'energetic', 'needs', 'gain', 'insight', 'coordination', 'nucleus', 'mitochondria', 'need', 'understand', 'regulation', 'transcription', 'mitochondrial', 'DNA', 'mtDNA', 'Reversible', 'protein', 'post-translational', 'modifications', 'mtDNA', 'transcriptional', 'machinery', 'may', 'one', 'way', 'control', 'mtDNA', 'transcription', 'focus', 'member', 'mtDNA', 'transcription', 'initiation', 'complex', 'mitochondrial', 'transcription', 'factor', 'B2', 'TFB2M', 'TFB2M', 'melts', 'mtDNA', 'promoter', 'allow', 'RNA', 'polymerase', 'POLRMT', 'access', 'DNA', 'template', 'initiate', 'transcription', 'Three', 'phosphorylation', 'sites', 'previously', 'identified', 'TFB2M', 'mass', 'spectrometry', ':', 'threonine', '184', 'serine', '197', 'threonine', '313', 'Phosphomimetics', 'established', 'positions', 'Proteins', 'purified', 'analyzed', 'ability', 'bind', 'mtDNA', 'initiate', 'transcription', 'vitro', 'results', 'indicate', 'phosphorylation', 'threonine', '184', 'threonine', '313', 'impairs', 'promoter', 'binding', 'prevents', 'transcription', 'findings', 'provide', 'potential', 'regulatory', 'mechanism', 'mtDNA', 'transcription', 'help', 'clarify', 'importance', 'protein', 'post-translational', 'modifications', 'mitochondrial', 'function']"
9,32241911,The C-terminal tails of the mitochondrial transcription factors Mtf1 and TFB2M are part of an autoinhibitory mechanism that regulates DNA binding.,https://pubmed.ncbi.nlm.nih.gov/32241911/,"The structurally homologous Mtf1 and TFB2M proteins serve as transcription initiation factors of mitochondrial RNA polymerases in Saccharomyces cerevisiae and humans, respectively. These transcription factors directly interact with the nontemplate strand of the transcription bubble to drive promoter melting. Given the key roles of Mtf1 and TFB2M in promoter-specific transcription initiation, it can be expected that the DNA binding activity of the mitochondrial transcription factors is regulated to prevent DNA binding at inappropriate times. However, little information is available on how mitochondrial DNA transcription is regulated. While studying C-terminal (C-tail) deletion mutants of Mtf1 and TFB2M, we stumbled upon a finding that suggested that the flexible C-tail region of these factors autoregulates their DNA binding activity. Quantitative DNA binding studies with fluorescence anisotropy-based titrations revealed that Mtf1 with an intact C-tail has no affinity for DNA but deletion of the C-tail greatly increases Mtf1's DNA binding affinity. Similar observations were made with TFB2M, although autoinhibition by the C-tail of TFB2M was not as complete as in Mtf1. Analysis of available TFB2M structures disclosed that the C-tail engages in intramolecular interactions with the DNA binding groove in the free factor, which, we propose, inhibits its DNA binding activity. Further experiments showed that RNA polymerase relieves this autoinhibition by interacting with the C-tail and engaging it in complex formation. In conclusion, our biochemical and structural analyses reveal autoinhibitory and activation mechanisms of mitochondrial transcription factors that regulate their DNA binding activities and aid in specific assembly of transcription initiation complexes.","['structurally', 'homologous', 'Mtf1', 'TFB2M', 'proteins', 'serve', 'transcription', 'initiation', 'factors', 'mitochondrial', 'RNA', 'polymerases', 'Saccharomyces', 'cerevisiae', 'humans', 'respectively', 'transcription', 'factors', 'directly', 'interact', 'nontemplate', 'strand', 'transcription', 'bubble', 'drive', 'promoter', 'melting', 'Given', 'key', 'roles', 'Mtf1', 'TFB2M', 'promoter-specific', 'transcription', 'initiation', 'expected', 'DNA', 'binding', 'activity', 'mitochondrial', 'transcription', 'factors', 'regulated', 'prevent', 'DNA', 'binding', 'inappropriate', 'times', 'However', 'little', 'information', 'available', 'mitochondrial', 'DNA', 'transcription', 'regulated', 'studying', 'C-terminal', 'C-tail', 'deletion', 'mutants', 'Mtf1', 'TFB2M', 'stumbled', 'upon', 'finding', 'suggested', 'flexible', 'C-tail', 'region', 'factors', 'autoregulates', 'DNA', 'binding', 'activity', 'Quantitative', 'DNA', 'binding', 'studies', 'fluorescence', 'anisotropy-based', 'titrations', 'revealed', 'Mtf1', 'intact', 'C-tail', 'affinity', 'DNA', 'deletion', 'C-tail', 'greatly', 'increases', 'Mtf1', ""'s"", 'DNA', 'binding', 'affinity', 'Similar', 'observations', 'made', 'TFB2M', 'although', 'autoinhibition', 'C-tail', 'TFB2M', 'complete', 'Mtf1', 'Analysis', 'available', 'TFB2M', 'structures', 'disclosed', 'C-tail', 'engages', 'intramolecular', 'interactions', 'DNA', 'binding', 'groove', 'free', 'factor', 'propose', 'inhibits', 'DNA', 'binding', 'activity', 'experiments', 'showed', 'RNA', 'polymerase', 'relieves', 'autoinhibition', 'interacting', 'C-tail', 'engaging', 'complex', 'formation', 'conclusion', 'biochemical', 'structural', 'analyses', 'reveal', 'autoinhibitory', 'activation', 'mechanisms', 'mitochondrial', 'transcription', 'factors', 'regulate', 'DNA', 'binding', 'activities', 'aid', 'specific', 'assembly', 'transcription', 'initiation', 'complexes']"
